year,faculty,NSF_awards,inflation_rate,Fed_Budget,PA_Budget_diff,GDP,CPI_inflation,Labor_BS,Labor_cond,Unemploy_BS,Unemploy
1998.0,1013671.0,,1.5,13246.66,-364.9279999999999,2265704.1875,163.00833333333335,80.20833333333333,0.9865150000000001,1.7916666666666667,4.508333333333334
1999.0,1037529.0,,2.2,12862.266,157.51599999999962,2407792.9375,166.575,79.9,1.2188591666666666,1.8000000000000005,4.216666666666667
2000.0,1075356.0,,3.4,11037.116,173.72199999999975,2562738.0,172.19999999999996,79.38333333333334,1.3480933333333331,1.6749999999999996,3.9916666666666667
2001.0,1113183.0,,2.8,9630.1,544.5509999999995,2645482.25,177.0666666666667,78.9,0.7061941666666668,2.25,4.733333333333333
2002.0,1143388.0,,1.6,18704.401,1937.5690000000031,2732277.0625,179.875,78.59166666666668,0.0077941666666666645,2.908333333333333,5.7749999999999995
2003.0,1173593.0,,2.3,22676.318,805.8760000000002,2864112.375,183.95833333333334,78.15833333333332,-0.324775,3.0833333333333335,5.991666666666667
2004.0,1232009.5,,2.7,24678.534,-321.3859999999986,3054298.9375,188.88333333333335,77.88333333333333,0.048830000000000005,2.7166666666666663,5.533333333333334
2005.0,1290426.0,,3.4,28267.338,-286.91200000000026,3259799.25,195.29166666666666,77.89999999999999,0.3390633333333333,2.316666666666667,5.066666666666666
2006.0,1331006.5,,3.2,55877.866,29331.186,3453895.75,201.5916666666667,77.89166666666668,0.6077133333333333,2.0333333333333337,4.616666666666666
2007.0,1371587.0,,2.9,23841.951,2070.678,3618556.75,207.3424166666667,77.825,0.4621199999999999,2.0166666666666666,4.616666666666666
2008.0,1405330.5,,3.8,24454.514,5435.686999999998,3692465.4375,215.3025,77.84166666666667,-0.4138458333333333,2.566666666666667,5.7749999999999995
2009.0,1439074.0,,-0.3,-4621.081,-26192.708,3619516.8125,214.537,77.46666666666667,-2.147020833333333,4.616666666666667,9.266666666666667
2010.0,1481771.5,,1.6,8349.834,-12697.383,3762242.75,218.05550000000002,76.73333333333335,-2.2185799999999998,4.708333333333333,9.616666666666665
2011.0,1524469.0,5460.18,3.1,685.174,-29568.623,3899932.875,224.93916666666667,76.45,-1.9355199999999997,4.325,8.95
2012.0,1534925.0,5542.499999999999,2.1,-4165.607,-25885.264,4063492.5,229.5939166666667,75.925,-1.5806508333333333,4.033333333333333,8.066666666666665
2013.0,1545381.0,5361.639999999999,1.5,-2561.005,-9722.378,4220170.875,232.95708333333332,75.43333333333334,-1.2558683333333334,3.6916666666666678,7.375
2014.0,1548818.5,6159.589999999999,1.6,11326.765,6690.017,4402034.625,236.73616666666666,74.93333333333332,-0.7087966666666666,3.1750000000000003,6.166666666666667
2015.0,1552256.0,5678.029999999999,0.1,44151.09,13306.614999999998,4573754.875,237.01700000000002,74.40833333333333,-0.19896583333333331,2.5749999999999997,5.291666666666666
2016.0,1546081.0,6826.24,1.3,32034.744,8124.360999999997,4701228.5,240.00716666666665,74.075,0.035583333333333335,2.5083333333333333,4.866666666666666
2017.0,1545653.0,5905.220000000001,2.1,70656.05,41567.139,4903025.75,245.11958333333334,73.81666666666666,0.40924083333333333,2.2916666666666665,4.35
2018.0,1543212.0,8129.349999999999,2.4,23441.344,82.74400000000242,5164129.0,251.10683333333338,73.8,0.8222624999999999,2.1333333333333333,3.9000000000000004
2019.0,1548824.0,6305.6,1.8,29905.319,6168.065999999999,5380348.875,255.65741666666668,73.76666666666667,0.9470641666666667,2.108333333333334,3.666666666666666
2020.0,1489565.0,6734.8099999999995,1.2,45667.257,13106.643999999997,5330737.5,258.8111666666667,72.41666666666667,-0.5368283333333334,4.825,8.091666666666667
2021.0,1499236.0,6759.920000000001,4.7,45771.126,18571.673999999995,5898507.875,270.96975000000003,72.16666666666667,0.5422816666666667,3.058333333333333,5.366666666666666
2022.0,1507641.0,5861.93,8.0,,,6436027.25,292.6549166666667,72.85833333333333,1.3190441666666666,1.9916666666666665,3.649999999999999
2023.0,,6026.66,4.1,,,6840233.75,304.7015833333333,72.99999999999999,0.9599691666666667,2.066666666666667,3.6333333333333333
2024.0,,,3.0,,,7115189.0,313.056,72.67999999999999,0.5606622222222222,2.3399999999999994,4.04
