Fiscal Year,Award Obligation to Date 
2011,$10.00M
2011,$10.00M
2012,$10.00M
2023,$10.00M
2011,$10.00M
2018,$10.00M
2020,$9.99M
2021,$9.97M
2018,$9.94M
2016,$9.91M
2021,$9.88M
2018,$9.85M
2023,$9.85M
2012,$9.84M
2011,$9.83M
2012,$9.80M
2021,$9.79M
2021,$9.74M
2017,$9.69M
2017,$9.65M
2015,$9.64M
2015,$9.63M
2014,$9.60M
2017,$9.58M
2012,$9.49M
2023,$9.48M
2021,$9.44M
2023,$9.38M
2023,$9.38M
2016,$9.36M
2014,$9.36M
2017,$9.29M
2013,$9.28M
2023,$9.28M
2014,$9.26M
2011,$9.20M
2017,$9.20M
2022,$9.15M
2022,$9.15M
2012,$9.10M
2019,$9.06M
2012,$9.06M
2017,$9.05M
2021,$9.04M
2018,$9.03M
2019,$9.03M
2017,$9.00M
2021,$9.00M
2012,$9.00M
2022,$9.00M
2022,$9.00M
2017,$8.98M
2023,$8.95M
2021,$8.95M
2013,$8.91M
2012,$8.89M
2019,$8.87M
2011,$8.86M
2021,$8.85M
2015,$8.83M
2016,$8.83M
2020,$8.80M
2021,$8.80M
2022,$8.80M
2021,$8.74M
2012,$8.59M
2023,$8.58M
2011,$8.57M
2020,$8.55M
2021,$8.53M
2020,$8.50M
2021,$8.44M
2023,$8.42M
2020,$8.42M
2023,$8.40M
2014,$8.40M
2012,$8.37M
2018,$8.35M
2011,$8.30M
2023,$8.28M
2023,$8.25M
2015,$8.23M
2022,$8.22M
2017,$8.21M
2015,$8.20M
2023,$8.20M
2015,$8.20M
2015,$8.19M
2018,$8.18M
2022,$8.18M
2011,$8.17M
2023,$8.16M
2013,$8.15M
2022,$8.11M
2020,$8.09M
2011,$8.07M
2020,$8.07M
2018,$8.07M
2016,$8.07M
2013,$8.06M
2016,$8.04M
2015,$8.03M
2015,$8.00M
2020,$8.00M
2011,$8.00M
2022,$8.00M
2012,$8.00M
2017,$8.00M
2012,$8.00M
2017,$7.99M
2013,$7.98M
2021,$7.98M
2021,$7.97M
2021,$7.92M
2021,$7.92M
2022,$7.91M
2023,$7.90M
2019,$7.90M
2014,$7.87M
2013,$7.85M
2018,$7.84M
2018,$7.84M
2016,$7.83M
2012,$7.81M
2023,$7.80M
2023,$7.80M
2023,$7.80M
2018,$7.80M
2015,$7.76M
2017,$7.75M
2013,$7.66M
2023,$7.65M
2018,$7.64M
2021,$7.63M
2012,$7.61M
2017,$7.60M
2020,$7.60M
2013,$7.58M
2012,$7.55M
2020,$7.55M
2022,$7.51M
2021,$7.51M
2020,$7.50M
2021,$7.50M
2021,$7.50M
2013,$7.50M
2015,$7.50M
2021,$7.50M
2019,$7.49M
2018,$7.48M
2023,$7.48M
2023,$7.48M
2016,$7.47M
2020,$7.47M
2023,$7.45M
2018,$7.43M
2013,$7.43M
2012,$7.41M
2023,$7.38M
2013,$7.37M
2018,$7.37M
2017,$7.36M
2012,$7.35M
2012,$7.31M
2022,$7.29M
2012,$7.28M
2018,$7.26M
2013,$7.22M
2016,$7.22M
2019,$7.21M
2015,$7.20M
2023,$7.20M
2017,$7.20M
2023,$7.19M
2020,$7.19M
2019,$7.19M
2015,$7.17M
2019,$7.15M
2019,$7.13M
2019,$7.10M
2015,$7.08M
2019,$7.08M
2018,$7.07M
2017,$7.03M
2018,$7.02M
2011,$7.02M
2015,$7.01M
2016,$7.00M
2021,$7.00M
2023,$7.00M
2019,$7.00M
2016,$6.99M
2011,$6.98M
2014,$6.98M
2017,$6.98M
2016,$6.97M
2012,$6.97M
2014,$6.97M
2018,$6.97M
2019,$6.96M
2018,$6.96M
2019,$6.95M
2023,$6.93M
2020,$6.93M
2016,$6.92M
2013,$6.91M
2017,$6.90M
2015,$6.89M
2019,$6.87M
2014,$6.83M
2012,$6.82M
2013,$6.82M
2015,$6.81M
2022,$6.80M
2019,$6.80M
2017,$6.79M
2021,$6.79M
